File 8053
Pixel	# Waveforms	Mean	SD
1	20	-330.66	17.57
2	4	17.14	43.83
3	4	-149.38	44.45
4	4	-220.44	46.18
5	4	-138.74	49.87
6	4	-184.88	45.34
7	4	-185.22	47.64
8	4	-94.56	45.14
9	4	-256.37	44.1
10	4	-42.87	43.31
11	4	-289.22	46.2
12	4	-189.29	44.27
13	4	-82.31	53.89
14	4	-180.51	48.71
15	4	-187.39	48.19
16	4	-104.71	44.6
17	4	-201.99	48.61
18	4	-24.56	46.44
19	4	-254.65	47.53
20	4	-140.21	45.6
21	4	-50.74	49.54
22	4	-242.87	51.16
23	4	-54.17	46.67
24	4	-130.47	45.55
25	4	-177.84	47.12
26	4	-264.45	46.25
27	4	-130.52	46.36
28	4	-24.62	47.85
29	4	-160.61	46.86
30	4	-60.31	47.67
31	4	-84.83	45.86
32	4	-210.33	46.59
33	4	-13.98	46.92
34	4	-254.86	48.43
35	4	-144.23	44.03
36	4	23.23	46.37
37	4	-128.19	31.98
38	4	-303.67	54.13
39	4	-175.4	43.95
40	4	-252.36	46.56
41	4	-58.59	47.52
42	4	71.89	48.47
43	4	-239.57	51.0
44	4	-61.99	51.82
45	4	-51.79	49.12
46	4	-10.26	42.92
47	4	-184.94	47.78
48	4	-142.17	46.65
49	4	-62.14	53.31
50	4	-71.75	51.09
51	4	-227.7	51.54
52	4	138.38	49.89
53	4	-212.4	49.18
54	4	-168.03	49.06
55	4	-111.7	52.46
56	4	-128.69	46.87
57	4	-292.37	47.61
58	0	None	None
59	0	None	None
60	4	-174.64	46.6
61	4	-254.83	44.82
62	4	-215.71	51.22
63	4	-70.58	50.93
64	4	-268.0	48.82
65	4	-103.32	46.76
66	4	-107.41	47.37
67	4	-43.82	46.73
68	4	-30.61	50.82
69	4	-303.04	45.39
70	4	-152.53	45.8
71	0	None	None
72	4	62.58	31.72
73	4	-114.69	45.28
74	4	-103.11	46.73
75	4	0.82	47.95
76	4	28.65	6.18
77	4	50.01	48.72
78	4	-121.65	47.28
79	4	-115.21	48.38
80	4	-113.66	50.59
81	4	60.74	48.71
82	4	-129.37	46.45
83	0	None	None
84	4	-271.38	31.52
85	4	-156.6	42.5
86	4	-137.85	47.51
87	4	-236.06	47.24
88	4	-20.99	48.79
89	4	-253.25	51.7
90	4	-157.61	47.46
91	4	-191.74	49.3
92	4	-180.96	49.36
93	4	-156.84	46.18
94	0	None	None
95	4	15.26	43.66
96	4	-34.86	43.68
97	4	-131.96	47.91
98	4	-183.55	47.73
99	4	-224.48	39.96
100	4	-146.23	48.53
101	4	-94.85	48.13
102	4	-235.24	48.17
103	4	-13.89	46.79
104	4	-91.09	45.4
105	4	-74.38	31.72
106	4	-69.24	46.53
107	4	-111.21	48.96
108	4	-95.04	49.9
109	4	-114.12	48.32
110	4	-132.31	45.09
111	4	-10.51	44.43
112	4	-257.6	47.11
113	4	-190.95	44.04
114	4	-98.52	30.08
115	4	-187.03	33.9
116	4	-36.31	47.33
117	4	-212.62	46.69
118	4	-128.91	45.23
119	4	-169.34	46.5
120	4	-218.22	46.74
121	4	-210.94	45.09
122	4	-214.95	29.15
123	0	None	None
124	0	None	None
125	0	None	None
126	0	None	None
127	4	-89.06	45.13
128	4	-61.52	41.73
