Real Energy	Noised Energy	Filtered Energy	Noised Diff	Filtered Diff
255.161	249.267	249.146	2.31%	2.357%
236.996	245.171	244.444	-3.45%	-3.143%
157.783	168.439	168.44	-6.754%	-6.754%
253.638	254.568	254.207	-0.367%	-0.224%
431.992	436.971	436.717	-1.153%	-1.094%
509.214	509.398	508.759	-0.036%	0.089%
735.424	731.953	730.909	0.472%	0.614%
411.786	410.346	409.778	0.35%	0.488%
411.896	409.291	409.125	0.632%	0.673%
607.34	613.194	612.798	-0.964%	-0.899%
697.8	701.432	700.358	-0.52%	-0.367%
424.731	423.804	423.136	0.218%	0.376%
335.549	342.916	342.082	-2.196%	-1.947%
729.578	731.677	731.31	-0.288%	-0.237%
257.626	251.02	250.252	2.564%	2.862%
446.722	443.09	442.043	0.813%	1.047%
682.732	683.452	682.335	-0.106%	0.058%
662.464	655.946	655.18	0.984%	1.1%
535.594	535.551	535.266	0.008%	0.061%
716.542	716.995	715.88	-0.063%	0.092%
695.483	691.524	690.37	0.569%	0.735%
206.71	205.076	204.845	0.791%	0.903%
557.225	555.861	555.219	0.245%	0.36%
78.163	77.818	77.55	0.442%	0.785%
477.15	478.218	477.557	-0.224%	-0.085%
643.948	637.099	636.276	1.064%	1.191%
414.726	412.975	412.528	0.422%	0.53%
121.322	115.176	114.633	5.066%	5.513%
734.504	718.892	717.756	2.126%	2.28%
597.087	595.643	595.495	0.242%	0.267%
111.212	108.884	108.89	2.094%	2.088%
442.905	448.102	447.255	-1.173%	-0.982%
285.321	290.105	289.66	-1.677%	-1.521%
522.062	518.072	517.012	0.764%	0.967%
66.871	65.381	65.304	2.228%	2.344%
474.987	475.184	474.61	-0.041%	0.079%
263.134	263.573	263.105	-0.167%	0.011%
716.035	715.35	714.332	0.096%	0.238%
634.128	633.437	632.249	0.109%	0.296%
186.646	182.378	182.309	2.287%	2.324%
289.066	287.076	286.974	0.688%	0.724%
582.397	577.471	577.424	0.846%	0.854%
235.334	232.238	232.182	1.316%	1.339%
116.581	113.389	113.194	2.738%	2.905%
359.874	358.39	358.078	0.412%	0.499%
281.049	279.317	279.191	0.616%	0.661%
172.423	175.571	175.218	-1.826%	-1.621%
260.269	252.829	252.633	2.858%	2.934%
295.374	295.171	294.852	0.069%	0.177%
629.867	626.213	625.776	0.58%	0.65%
337.135	334.551	334.279	0.766%	0.847%
624.021	620.292	619.424	0.598%	0.737%
284.337	278.894	278.954	1.915%	1.893%
166.271	155.032	154.832	6.759%	6.88%
197.507	192.402	192.293	2.585%	2.64%
200.952	194.921	194.62	3.001%	3.151%
509.155	503.735	503.026	1.064%	1.204%
688.635	684.178	683.241	0.647%	0.783%
603.495	599.448	598.626	0.67%	0.807%
387.29	382.072	381.283	1.347%	1.551%
327.918	328.022	327.42	-0.032%	0.152%
74.037	76.553	76.102	-3.398%	-2.789%
582.373	585.823	584.328	-0.592%	-0.336%
713.882	714.457	713.236	-0.08%	0.091%
412.946	413.333	412.734	-0.094%	0.051%
220.262	217.807	217.613	1.115%	1.203%
615.26	613.571	613.877	0.275%	0.225%
71.486	68.823	70.616	3.726%	1.218%
411.438	375.768	379.05	8.67%	7.872%
88.668	94.962	94.591	-7.098%	-6.679%
601.123	605.032	604.729	-0.65%	-0.6%
557.932	557.612	557.127	0.057%	0.144%
477.325	479.529	478.863	-0.462%	-0.322%
198.362	196.759	196.519	0.808%	0.929%
445.126	446.607	445.796	-0.333%	-0.151%
394.965	393.553	393.198	0.358%	0.447%
731.21	729.317	728.246	0.259%	0.405%
320.793	322.768	322.367	-0.616%	-0.491%
430.53	420.884	420.649	2.241%	2.295%
119.556	121.73	121.74	-1.819%	-1.827%
349.971	351.749	351.338	-0.508%	-0.391%
421.371	422.969	422.45	-0.379%	-0.256%
